Date,Close,High,Low,Open,Volume,nifty100_return
2022-02-10,17842.900390625,17869.099609375,17665.69921875,17794.0,6230700,0.007626605388522112
2022-02-11,17606.599609375,17696.94921875,17541.650390625,17694.400390625,5524800,-0.013243406401246105
2022-02-14,17060.69921875,17318.44921875,17026.400390625,17293.099609375,6750200,-0.031005441296814817
2022-02-15,17560.55078125,17582.900390625,17037.599609375,17147.900390625,6533900,0.029298421834355715
2022-02-16,17530.650390625,17706.099609375,17481.650390625,17626.25,5251900,-0.0017027023239456485
2022-02-17,17524.44921875,17657.099609375,17457.19921875,17608.44921875,4815000,-0.00035373313236086723
2022-02-18,17472.900390625,17586.349609375,17439.05078125,17456.69921875,4285100,-0.0029415377043545687
2022-02-21,17379.099609375,17532.400390625,17251.849609375,17389.55078125,4492200,-0.005368357808548385
2022-02-22,17276.5,17321.150390625,17009.30078125,17012.75,6474800,-0.005903620537375476
2022-02-23,17273.44921875,17413.30078125,17240.0,17378.94921875,4950700,-0.00017658560761724118
2022-02-24,16428.05078125,16897.849609375,16384.44921875,16742.80078125,12170800,-0.048942074440021854
2022-02-25,16872.349609375,16955.5,16676.599609375,16703.0,8562700,0.027045133597474402
2022-02-28,17016.55078125,17035.150390625,16568.44921875,16701.69921875,8949600,0.008546596959730923
2022-03-02,16855.69921875,16930.19921875,16732.05078125,16826.25,9903900,-0.009452653746800266
2022-03-03,16761.599609375,17032.94921875,16708.099609375,16991.0,8917200,-0.00558265831359428
2022-03-04,16482.849609375,16700.55078125,16384.25,16610.75,8763400,-0.01663027434709108
2022-03-07,16086.9501953125,16180.599609375,15938.75,16116.099609375,10113600,-0.024018869518612984
2022-03-08,16251.650390625,16267.0498046875,15901.099609375,15991.4501953125,9700600,0.010238124275444793
2022-03-09,16571.55078125,16648.099609375,16245.75,16328.400390625,8629300,0.019684178710215106
2022-03-10,16835.5,16979.849609375,16689.80078125,16979.849609375,9478900,0.015927852633360606
2022-03-11,16877.69921875,16928.25,16717.0,16773.599609375,6488100,0.002506561655430506
2022-03-14,17076.599609375,17092.150390625,16833.099609375,16882.5,6468700,0.011784804791640902
2022-03-15,16873.44921875,17136.900390625,16764.25,17107.75,7576000,-0.011896419385125756
2022-03-16,17198.0,17209.5,17052.599609375,17086.0,5368700,0.019234406495226564
2022-03-17,17505.400390625,17553.69921875,17394.25,17422.349609375,15345200,0.017874194128677745
2022-03-21,17323.650390625,17576.5,17306.599609375,17550.5,6428900,-0.01038251030792392
2022-03-22,17499.19921875,17518.25,17195.599609375,17329.55078125,6615900,0.01013347788523844
2022-03-23,17446.05078125,17625.900390625,17399.80078125,17593.400390625,6650500,-0.003037192550105483
2022-03-24,17429.94921875,17494.150390625,17301.80078125,17305.849609375,5471300,-0.0009229345197885319
2022-03-25,17370.5,17506.94921875,17287.849609375,17500.849609375,5019200,-0.003410751116018629
2022-03-28,17422.150390625,17434.80078125,17213.80078125,17404.80078125,5927300,0.0029734544558301934
